# HSK COORS  :  [0.0, 0.19050548316614385, 0.32521320216614386, 0.45992092116614386]
# HSK SYMBOL :  ['M', 'Γ', 'X', 'M']
# PROJ ATOMS :  [1]


# K-coors        Spin-up(eV)       dxy         dz2       Spin-up(eV)     dxy       dz2    
  0.06126809    -13.87971500    0.000000    0.000000    -13.75821100    0.000000    0.000000  
  0.06222542    -13.88736400    0.000000    0.000000    -13.76639700    0.000000    0.000000  
  0.06318271    -13.89506700    0.000000    0.000000    -13.77463800    0.000000    0.000000  
  0.06414003    -13.90282200    0.000000    0.000000    -13.78293200    0.000000    0.000000  
  0.06509736    -13.91062500    0.000000    0.000000    -13.79127400    0.000000    0.000000  
  0.06605465    -13.91847300    0.000000    0.000000    -13.79966200    0.000000    0.000000  
  0.06701198    -13.92636500    0.000000    0.000000    -13.80809400    0.000000    0.000000  
  0.06796931    -13.93429800    0.000000    0.000000    -13.81656700    0.000000    0.000000  
  0.06892660    -13.94227000    0.000000    0.000000    -13.82507900    0.000000    0.000000  
  0.06988393    -13.95027900    0.000000    0.000000    -13.83362800    0.000000    0.000000  
  0.07084122    -13.95832200    0.000000    0.000000    -13.84221000    0.000000    0.000000  
  0.07179854    -13.96639800    0.000000    0.000000    -13.85082500    0.000000    0.000000  
  0.07275587    -13.97450300    0.000000    0.000000    -13.85946800    0.000000    0.000000  
  0.07371316    -13.98263600    0.000000    0.000000    -13.86813900    0.000000    0.000000  
  0.07467049    -13.99079500    0.000000    0.000000    -13.87683300    0.000000    0.000000  
  0.07562782    -13.99897700    0.000000    0.000000    -13.88555000    0.000000    0.000000  
  0.07658511    -14.00718000    0.000000    0.000000    -13.89428500    0.000000    0.000000  
  0.07754244    -14.01540100    0.000000    0.000000    -13.90303800    0.000000    0.000000  
  0.07849977    -14.02363900    0.000000    0.000000    -13.91180600    0.000000    0.000000  
  0.07945706    -14.03189100    0.000000    0.000000    -13.92058700    0.000000    0.000000  
  0.08041438    -14.04015600    0.000000    0.000000    -13.92937800    0.000000    0.000000  
  0.08137167    -14.04843100    0.000000    0.000000    -13.93817700    0.000000    0.000000  
  0.08232900    -14.05671300    0.000000    0.000000    -13.94698100    0.000000    0.000000  
  0.08328633    -14.06500000    0.000000    0.000000    -13.95578700    0.000000    0.000000  
  0.08424362    -14.07329200    0.000000    0.000000    -13.96459600    0.000000    0.000000  
  0.08520095    -14.08158500    0.000000    0.000000    -13.97340300    0.000000    0.000000  
  0.08615828    -14.08987600    0.000000    0.000000    -13.98220600    0.000000    0.000000  
  0.08711557    -14.09816400    0.000000    0.001000    -13.99100300    0.000000    0.000000  
  0.08807289    -14.10644800    0.000000    0.001000    -13.99979200    0.000000    0.000000  
  0.08903018    -14.11472600    0.000000    0.001000    -14.00857300    0.000000    0.000000  
  0.08998751    -14.12299500    0.000000    0.001000    -14.01734300    0.000000    0.000000  
